icd_code,disease_name,chapter,synonyms,short_desc
I621,Nontraumatic extradural hemorrhage,Cardiovascular,,
I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic",Cardiovascular,,
I651,Occlusion and stenosis of basilar artery,Cardiovascular,,
I663,Occlusion and stenosis of cerebellar arteries,Cardiovascular,cerebrovascular disease|Cerebrovascular disease disorder|Cerebrovascular disease disease,Cerebrovascular disease within Diseases of the circulatory system. Category-level grouping.
I670,"Dissection of cerebral arteries, nonruptured",Cardiovascular,,
I680,Cerebral amyloid angiopathy,Cardiovascular,,
I700,Atherosclerosis of aorta,Cardiovascular,,
I718,"Aortic aneurysm of unspecified site, ruptured",Cardiovascular,,
I720,Aneurysm of carotid artery,Cardiovascular,,
I731,Thromboangiitis obliterans [Buerger's disease],Cardiovascular,,
I742,Embolism and thrombosis of arteries of the upper extremities,Cardiovascular,,
I770,"Arteriovenous fistula, acquired",Cardiovascular,,
I780,Hereditary hemorrhagic telangiectasia,Cardiovascular,,
I790,Aneurysm of aorta in diseases classified elsewhere,Cardiovascular,,
I803,"Phlebitis and thrombophlebitis of lower extremities, unspecified",Cardiovascular,,
J020,Streptococcal pharyngitis,Respiratory,,
J040,Acute laryngitis,Respiratory,,
J050,Acute obstructive laryngitis [croup],Respiratory,,
J060,Acute laryngopharyngitis,Respiratory,,
J101,Influenza due to other identified influenza virus with other respiratory manifestations,Respiratory,,
J111,Influenza due to unidentified influenza virus with other respiratory manifestations,Respiratory,,
J120,Adenoviral pneumonia,Respiratory,,
J150,Pneumonia due to Klebsiella pneumoniae,Respiratory,,
J160,Chlamydial pneumonia,Respiratory,,
J180,"Bronchopneumonia, unspecified organism",Respiratory,respiratory failure|Respiratory failure disorder|Respiratory failure disease,Respiratory failure within Diseases of the respiratory system. Category-level grouping.
J200,Acute bronchitis due to Mycoplasma pneumoniae,Respiratory,,
J210,Acute bronchiolitis due to respiratory syncytial virus,Respiratory,,
J300,Vasomotor rhinitis,Respiratory,,
J310,Chronic rhinitis,Respiratory,,
J320,Chronic maxillary sinusitis,Respiratory,,
J330,Polyp of nasal cavity,Respiratory,,
J340,"Abscess, furuncle and carbuncle of nose",Respiratory,,
J351,Hypertrophy of tonsils,Respiratory,copd|COPD disorder|COPD disease,COPD within Diseases of the respiratory system. Category-level grouping.
J370,Chronic laryngitis,Respiratory,,
J381,Polyp of vocal cord and larynx,Respiratory,,
J390,Retropharyngeal and parapharyngeal abscess,Respiratory,,
J410,Simple chronic bronchitis,Respiratory,,
J430,Unilateral pulmonary emphysema [MacLeod's syndrome],Respiratory,,
J440,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,Respiratory,,
J470,Bronchiectasis with acute lower respiratory infection,Respiratory,,
J4A0,Restrictive allograft syndrome,Respiratory,,
J620,Pneumoconiosis due to talc dust,Respiratory,,
J630,Aluminosis (of lung),Respiratory,,
J660,Byssinosis,Respiratory,,
J670,Farmer's lung,Respiratory,,
